Biotype	Class	DensityShuf	DensityWt	GC	LocID	Location	NbLocation	NbRepro	NbTrpG4Shuf	NbTrpG4Wt	NbpG4rLocShuf	NbpG4rLocWt	NbpG4rShuf	NbpG4rWt	Sp	Tot	Type	index	nbTr	nuclA	nuclC	nuclG	nuclN	nuclT	meanShuffle	stdShuffle	ShortName
protein_coding	Coding	0.00110097759630263	0.0048825962966464465	27.44451372093329	CDS-protein_coding-Coding	CDS	29793.0	3	21	97	21.0	98.0	23	102	dictyostelium_discoideum	20890525	Segment	1	13109	8489193	2869672	2863631	46	6667983	0.00261825520116829	0.0010632356376287008	Ddis
protein_coding	Coding	0.06749529449665789	0.03561883671793698	53.98437258727298	CDS-protein_coding-Coding	CDS	161474.0	3	3270	1874	3781.0	2052.0	4076	2151	drosophila_melanogaster	60389395	Segment	1	30569	15451617	16447242	16153594	0	12336942	0.06811316264710901	0.0018248195549410984	Dmel
protein_coding	Coding	0.007644656888687194	0.001042453212093708	38.06243391280991	CDS-protein_coding-Coding	CDS	3265.0	3	22	3	22.0	3.0	22	3	enterococcus_faecalis_v583	2877827	Segment	1	3265	954844	489199	606172	0	827612	0.007643790557284323	0.0004012497809273589	Efae
protein_coding	Coding	0.08977872976576907	0.01856613958328936	52.130489950250386	CDS-protein_coding-Coding	CDS	4141.0	3	324	70	324.0	70.0	353	73	escherichia_coli_str_k_12_substr_mg1655	3931889	Segment	1	4140	938206	970633	1079080	0	943970	0.0931773154688241	0.0042847798259999055	Ecol
protein_coding	Coding	0.0033498166645339503	0.0	33.04667835529361	CDS-protein_coding-Coding	CDS	1651.0	3	5	0	5.0	0.0	5	0	francisella_tularensis_subsp_tularensis_schu_s4	1492619	Segment	1	1605	521939	214230	279031	0	477419	0.0034164428808234745	0.0013193181543709094	Ftul
protein_coding	Coding	0.14155624102942102	0.1301888749118766	50.51490628171177	CDS-protein_coding-Coding	CDS	317248.0	3	4943	4527	5999.0	5630.0	7397	6803	gallus_gallus	52254849	Segment	2	28029	14173988	12873692	13522796	860	11683513	0.14587426111231971	0.003388450433857113	Ggal
protein_coding	Coding	0.13332100715541584	0.11076746430546727	56.09917227628068	CDS-protein_coding-Coding	CDS	240391.0	3	3672	3142	4440.0	3647.0	4599	3821	gasterosteus_aculeatus	34495689	Segment	1	23117	8289159	9718837	9632959	98	6854636	0.1400788958063351	0.005006718757886685	Gacu
protein_coding	Coding	0.1709012520978853	0.17003226268043842	61.71278972831335	CDS-protein_coding-Coding	CDS	3441.0	3	508	504	508.0	504.0	590	587	geobacter_sulfurreducens_pca	3452286	Segment	1	3432	675658	1074298	1056204	0	646126	0.17044974009559472	0.006525139100890816	Gsul
protein_coding	Coding	0.0032020882738886987	0.004482923583444178	38.88513532985672	CDS-protein_coding-Coding	CDS	1709.0	3	5	7	5.0	7.0	5	7	haemophilus_influenzae_rd_kw20	1561481	Segment	1	1709	487929	278296	328888	24	466344	0.006019575877897719	0.0023622079218408526	Hinf
protein_coding	Coding	0.3838149203594907	0.0904116686690533	66.9797460475322	CDS-protein_coding-Coding	CDS	2707.0	3	593	161	593.0	161.0	883	208	halobacterium_salinarum_r1	2300588	Segment	1	2707	408334	773577	767351	0	351326	0.39020294959826585	0.006807212543715557	Hsal
protein_coding	Coding	0.1064937834160548	0.07635914301938619	51.73115571538007	CDS-protein_coding-Coding	CDS	683864.0	3	8498	6427	10280.0	7297.0	11404	8177	homo_sapiens	107086063	Segment	11	83623	28159643	27590605	27806253	0	23529562	0.11113605455021122	0.0034153479656308964	Hsap
protein_coding	Coding	0.2537483528615692	0.0964540522573216	54.14663390196706	CDS-protein_coding-Coding	CDS	1602.0	3	280	121	280.0	121.0	342	130	hyperthermus_butylicus_dsm_5456	1347792	Segment	1	1602	333897	331389	398395	0	284111	0.252827882769828	0.005331835525755351	Hbut
protein_coding	Coding	0.010755109942529751	0.005693881734280457	39.121364456512666	CDS-protein_coding-Coding	CDS	3166.0	3	26	18	26.0	18.0	34	18	legionella_pneumophila_str_paris	3161288	Segment	1	3166	990955	577880	658859	107	933487	0.009773420940744265	0.0015011738555821444	Lpne
protein_coding	Coding	0.2330392533103529	0.07217522154509425	62.51627688327756	CDS-protein_coding-Coding	CDS	8320.0	3	2300	922	2300.0	922.0	3655	1132	leishmania_major	15684053	Segment	1	8315	3021204	4866186	4938900	2	2857761	0.23479302283279865	0.0027826705619882963	Lmaj
protein_coding	Coding	0.0018003625930262356	0.0006001208643420785	32.140733143655126	CDS-protein_coding-Coding	CDS	1795.0	3	3	1	3.0	1.0	3	1	methanobrevibacter_smithii_atcc_35061	1666331	Segment	1	1795	607289	223521	312050	0	523471	0.0028203743329859817	0.0010606094794041116	Msmi
protein_coding	Coding	0.029212391519548513	0.028976807716971507	45.275060580374834	CDS-protein_coding-Coding	CDS	4540.0	3	118	120	118.0	120.0	124	123	methanosarcina_acetivorans_c2a	4244774	Segment	1	4540	1264346	898540	1023284	0	1058604	0.031235291147167922	0.002741394882497923	Mace
protein_coding	Coding	0.07074230264893842	0.07689380722710698	48.02296262020497	CDS-protein_coding-Coding	CDS	190677.0	3	1916	2076	2171.0	2340.0	2392	2600	monodelphis_domestica	33812866	Segment	1	21178	9496761	8090711	8147229	3994	8074171	0.07401795628928681	0.002474239837579427	Mdom
protein_coding	Coding	0.08678816122261593	0.051469260126059534	51.633084637514855	CDS-protein_coding-Coding	CDS	489550.0	3	5519	3515	6464.0	3881.0	7045	4178	mus_musculus	81174666	Segment	12	58929	21175166	21004664	20908320	0	18086516	0.09054865227515765	0.0031280995573781997	Mmus
protein_coding	Coding	0.4300432985043967	0.13811245644720913	66.02578165667138	CDS-protein_coding-Coding	CDS	4018.0	3	1087	275	1087.0	275.0	1725	554	mycobacterium_tuberculosis_h37rv	4011224	Segment	1	4018	670566	1298019	1350423	0	692216	0.43052379560771115	0.0021651245962501973	Mtub
protein_coding	Coding	0.005568765905787618	0.03758916986406643	40.860541395421365	CDS-protein_coding-Coding	CDS	688.0	3	4	23	4.0	23.0	4	27	mycoplasma_pneumoniae_m129	718292	Segment	1	688	226048	143918	149580	0	198746	0.008352615977246175	0.0029355594727028186	Mpne
protein_coding	Coding	0.5525012381475943	0.19188737615073925	69.24105362610139	CDS-protein_coding-Coding	CDS	7332.0	3	2679	1194	2679.0	1194.0	4604	1599	myxococcus_xanthus_dk_1622	8333013	Segment	1	7331	1275927	2823698	2946168	0	1287220	0.5591489251499278	0.007191162939912014	Mxan
protein_coding	Coding	0.004403472578475386	0.006605208867713079	31.27654468313712	CDS-protein_coding-Coding	CDS	536.0	3	2	3	2.0	3.0	2	3	nanoarchaeum_equitans_kin4_m	454187	Segment	1	536	180312	58838	83216	0	131821	0.004182780862054314	0.0026359129441027715	Nequ
protein_coding	Coding	0.09789279922711304	0.023307809339788817	53.57667074747562	CDS-protein_coding-Coding	CDS	1916.0	3	136	36	136.0	36.0	168	40	neisseria_meningitidis_z2491	1716163	Segment	1	1909	427401	467355	452108	0	369299	0.09578417939125307	0.0019137756041719446	Nmen
protein_coding	Coding	0.08365609655076421	0.2724459541568151	56.01131054157592	CDS-protein_coding-Coding	CDS	28633.0	3	1160	3079	1205.0	3305.0	1410	4592	neurospora_crassa	16854719	Segment	1	10785	3992625	4906275	4534274	0	3421545	0.08671523577997209	0.0027959198261581493	Ncra
protein_coding	Coding	0.08545313437632923	0.07163608528562923	50.129104381003636	CDS-protein_coding-Coding	CDS	32200.0	3	329	283	382.0	317.0	402	337	ornithorhynchus_anatinus	4704333	Segment	1	2972	1283821	1172962	1185278	1081	1061191	0.09555591902863213	0.007334069478696637	Oana
protein_coding	Coding	0.23834395416505225	0.25386101376907605	55.27390560121243	CDS-protein_coding-Coding	CDS	165057.0	3	7527	8621	7964.0	9102.0	9938	10585	oryza_sativa	41696044	Segment	1	42246	9575014	11247993	11799039	2238	9071760	0.24145896048689738	0.002388895368867714	Osat
protein_coding	Coding	0.1099953195131342	0.08028462008685436	51.51761266694898	CDS-protein_coding-Coding	CDS	490728.0	3	6192	4873	7520.0	5601.0	8367	6107	pan_troglodytes	76066873	Segment	5	47402	20076970	19482180	19705657	5803	16796263	0.1156448030614452	0.00417807689191485	Ptro
protein_coding	Coding	0.15207725444291492	0.11694135767010692	48.74334091596743	CDS-protein_coding-Coding	CDS	526623.0	3	10954	9286	13046.0	10646.0	18196	13992	physcomitrella_patens	119649714	Segment	1	86669	31646455	26716272	31604996	2305	29679686	0.15785811595511823	0.004179377529287525	Ppat
protein_coding	Coding	0.0970887427776862	0.06963651136394207	51.90388850474152	CDS-protein_coding-Coding	CDS	200568.0	3	2337	1786	2761.0	1954.0	2992	2146	pongo_abelii	30817167	Segment	1	20074	8026149	7976207	8019101	7313	6788397	0.12026968045868028	0.014136018917207404	Pabe
protein_coding	Coding	0.3084102874679057	0.3180799169429721	52.051361000348614	CDS-protein_coding-Coding	CDS	2605.0	3	477	500	477.0	500.0	606	625	pyrobaculum_aerophilum_str_im2	1964915	Segment	1	2605	497442	446854	575911	0	444708	0.29951410900297637	0.008329880780461136	Paer
protein_coding	Coding	0.0956803548273674	0.0903973904503962	42.40441796700965	CDS-protein_coding-Coding	CDS	2061.0	3	150	144	150.0	144.0	163	154	pyrococcus_horikoshii_ot3	1703589	Segment	1	2061	535075	303119	419278	0	446117	0.0847506838455572	0.00761115211721545	Phor
protein_coding	Coding	0.007234121906207198	0.002296546636891174	39.76720825360489	CDS-protein_coding-Coding	CDS	6854.0	3	61	19	61.0	19.0	63	20	saccharomyces_cerevisiae	8708728	Segment	1	6572	2825110	1671838	1791380	0	2420400	0.007623965937627689	0.0003309009154051312	Scer
protein_coding	Coding	0.003919671374751941	0.0013998826338399786	39.660578857068614	CDS-protein_coding-Coding	CDS	10190.0	3	26	10	26.0	10.0	28	10	schizosaccharomyces_pombe	7143456	Segment	1	5126	2137032	1397904	1435232	0	2173288	0.005011021546877913	0.0009170431219638769	Spom
protein_coding	Coding	0.03383934791911603	0.031689488356597934	41.62622859936956	CDS-protein_coding-Coding	CDS	165123.0	3	1040	982	1084.0	1025.0	1212	1135	solanum_lycopersicum	35816293	Segment	1	33697	10664140	6774021	8134951	1023	10242158	0.04071554213460234	0.004020166873859536	Slyc
protein_coding	Coding	0.0021177592751502974	0.0	33.620317951906536	CDS-protein_coding-Coding	CDS	2624.0	3	5	0	5.0	0.0	5	0	staphylococcus_aureus_subsp_aureus_n315	2360986	Segment	1	2624	849107	346764	447007	0	718108	0.00266814158020658	0.000530417037307721	Saur
protein_coding	Coding	0.015551503524914898	0.0016662325205265961	40.65618458301698	CDS-protein_coding-Coding	CDS	2126.0	3	28	3	28.0	3.0	28	3	streptococcus_pneumoniae_tigr4	1800469	Segment	1	2125	544975	337938	394064	0	523492	0.012272745406767418	0.0025283993878917163	Spne
protein_coding	Coding	0.03489552952578165	0.04520557234021714	36.57134767724649	CDS-protein_coding-Coding	CDS	2994.0	3	83	109	83.0	109.0	88	114	sulfolobus_solfataricus_p2	2521813	Segment	1	2994	865315	374896	547365	0	734237	0.03473277683515723	0.0033343087815165796	Ssol
protein_coding	Coding	0.07217377087331736	0.016938742143737747	47.371033572586924	CDS-protein_coding-Coding	CDS	1478.0	3	91	22	91.0	22.0	98	23	thermoplasma_acidophilum_dsm_1728	1357834	Segment	1	1478	390601	294517	348703	0	324013	0.07783671959559088	0.003925915080847786	Taci
protein_coding	Coding	0.4139377023757924	0.7858817248004175	69.83518980393451	CDS-protein_coding-Coding	CDS	2238.0	3	612	999	612.0	999.0	828	1572	thermus_thermophilus_hb8	2000301	Segment	1	2238	292930	706303	690611	4	310453	0.4131915468092572	0.00042744970776815473	Tthe
protein_coding	Coding	0.015405619795698228	0.0069761297188067435	47.43872850734368	CDS-protein_coding-Coding	CDS	3762.0	3	52	24	52.0	24.0	53	24	vibrio_cholerae_o1_biovar_el_tor_str_n16961	3440303	Segment	1	3544	901621	806707	825329	2	906644	0.021652706245466936	0.003293961830049493	Vcho
protein_coding	Coding	0.07272855014569231	0.09225594588048264	44.78489084507293	CDS-protein_coding-Coding	CDS	129778.0	3	1798	2356	1866.0	2448.0	2149	2726	vitis_vinifera	29548231	Segment	1	26556	8182996	6117707	7115436	198886	7933206	0.07557002342007202	0.002059625839421976	Vvin
protein_coding	Coding	0.010868008042325952	0.004940003655602705	35.55142790805665	CDS-protein_coding-Coding	CDS	1195.0	3	11	5	11.0	5.0	11	5	wolbachia_endosymbiont_of_drosophila_melanogaster	1012145	Segment	1	1195	356661	152083	207749	0	295652	0.00948352538874056	0.000952442155036415	Wend
protein_coding	Coding	0.06299741168421256	0.04879717544391875	49.02778728046112	CDS-protein_coding-Coding	CDS	4016.0	3	233	170	233.0	170.0	244	189	yersinia_pestis_biovar_microtus_str_91001	3873175	Segment	1	4016	979563	891621	1007311	0	994680	0.06479818919749196	0.0012577894998887255	Ypes
IG_V_pseudogene	Pseudogene	0.0	0.0	36.5	acceptor-IG_V_pseudogene-Pseudogene	acceptor	14.0	3	0	0	0.0	0.0	0	0	danio_rerio	1200	Point	11	14	305	214	224	0	457	0.0	0.0	Drer
IG_V_pseudogene	Pseudogene	0.03	0.0	51.80693069306931	acceptor-IG_V_pseudogene-Pseudogene	acceptor	100.0	3	3	0	3.0	0.0	3	0	homo_sapiens	8080	Point	15	100	1464	2061	2125	0	2430	0.04000000000000001	0.013228756555322952	Hsap
IG_V_pseudogene	Pseudogene	0.0	0.0	44.40265486725664	acceptor-IG_V_pseudogene-Pseudogene	acceptor	113.0	3	0	0	0.0	0.0	0	0	mus_musculus	9040	Point	17	112	2134	2173	1841	0	2892	0.0	0.0	Mmus
TEC	None	0.0	0.0	36.41304347826087	acceptor-TEC-None	acceptor	13.0	3	0	0	0.0	0.0	0	0	danio_rerio	1840	Point	12	3	501	266	404	0	669	0.0	0.0	Drer
TEC	None	0.0	0.1111111111111111	45.0	acceptor-TEC-None	acceptor	9.0	3	0	1	0.0	1.0	0	1	homo_sapiens	800	Point	16	7	205	171	189	0	235	0.05555555555555556	0.05856069741052554	Hsap
TEC	None	0.0	0.0	43.24588561186247	acceptor-TEC-None	acceptor	77.0	3	0	0	0.0	0.0	0	0	mus_musculus	6137	Point	19	60	1629	1394	1260	0	1854	0.0025974025974025974	0.005475805472153038	Mmus
miRNA	LongNC	0.0	0.0	40.0	acceptor-miRNA-LongNC	acceptor	1.0	3	0	0	0.0	0.0	0	0	danio_rerio	80	Point	17	1	23	22	10	0	25	0.0	0.0	Drer
ncRNA	LongNC	0.004866180048661801	0.0	36.216248977241726	acceptor-ncRNA-LongNC	acceptor	411.0	3	2	0	2.0	0.0	2	0	arabidopsis_thaliana	32999	Point	3	187	9138	5402	6549	0	11910	0.0019464720194647203	0.002235855434240101	Atha
ncRNA	LongNC	0.0	0.0	35.588792331723596	acceptor-ncRNA-LongNC	acceptor	4086.0	3	0	0	0.0	0.0	0	0	caenorhabditis_elegans	328418	Point	4	756	105408	63357	53523	0	106130	3.762439565814474e-05	9.184001176312189e-05	Cele
ncRNA	ShortNC	0.0	0.0	36.25	acceptor-ncRNA-ShortNC	acceptor	3.0	3	0	0	0.0	0.0	0	0	caenorhabditis_elegans	240	Point	5	3	67	48	39	0	86	3.762439565814474e-05	9.184001176312189e-05	Cele
ncRNA	LongNC	0.0005497526113249038	0.0	38.33907915929026	acceptor-ncRNA-LongNC	acceptor	1819.0	3	1	0	1.0	0.0	1	0	drosophila_melanogaster	150254	Point	2	1206	43207	31152	26454	0	49441	0.00016913141410963546	0.0002640563464432888	Dmel
ncRNA	ShortNC	0.0	0.0	40.983606557377044	acceptor-ncRNA-ShortNC	acceptor	1.0	3	0	0	0.0	0.0	0	0	drosophila_melanogaster	61	Point	3	1	18	17	8	0	18	0.00016913141410963546	0.0002640563464432888	Dmel
ncRNA	LongNC	0.0	0.006211180124223602	48.952736899478325	acceptor-ncRNA-LongNC	acceptor	161.0	3	0	1	0.0	1.0	0	1	neurospora_crassa	12843	Point	2	121	3426	3368	2919	0	3130	0.0	0.0	Ncra
ncRNA	LongNC	0.0	0.0	29.910714285714285	acceptor-ncRNA-LongNC	acceptor	5.0	3	0	0	0.0	0.0	0	0	schizosaccharomyces_pombe	448	Point	2	4	174	73	61	0	140	0.0	0.0	Spom
nonsense_mediated_decay	Coding	0.002422480620155039	0.00024224806201550385	41.46831827137903	acceptor-nonsense_mediated_decay-Coding	acceptor	4128.0	3	8	1	10.0	1.0	10	1	danio_rerio	348671	Point	19	668	87251	68520	76068	0	116832	0.003028100775193798	0.0009364836486388245	Drer
nonsense_mediated_decay	Coding	0.0009977724150733247	0.0003557948146773096	45.35585083460123	acceptor-nonsense_mediated_decay-Coding	acceptor	129288.0	3	127	44	129.0	44.0	129	46	homo_sapiens	11407364	Point	22	15707	2700165	2750433	2423474	0	3533292	0.0009049563764618526	0.00012283820359271905	Hsap
nonsense_mediated_decay	Coding	0.0006025709694697375	0.00023433315479378682	46.311174344217406	acceptor-nonsense_mediated_decay-Coding	acceptor	59744.0	3	34	14	36.0	14.0	36	14	mus_musculus	4950993	Point	25	7189	1153406	1220502	1072361	0	1504724	0.0005339448312801286	6.28514440128501e-05	Mmus
polymorphic_pseudogene	Pseudogene	0.0	0.0	44.0625	acceptor-polymorphic_pseudogene-Pseudogene	acceptor	87.0	3	0	0	0.0	0.0	0	0	danio_rerio	11520	Point	20	10	2832	2764	2312	0	3612	0.0	0.0	Drer
polymorphic_pseudogene	Pseudogene	0.0	0.0	50.2121009153829	acceptor-polymorphic_pseudogene-Pseudogene	acceptor	279.0	3	0	0	0.0	0.0	0	0	homo_sapiens	22395	Point	23	45	5044	6211	5034	0	6106	0.0	0.0	Hsap
polymorphic_pseudogene	Pseudogene	0.014705882352941175	0.007352941176470587	47.31038970428747	acceptor-polymorphic_pseudogene-Pseudogene	acceptor	272.0	3	4	2	4.0	2.0	4	2	mus_musculus	27662	Point	26	65	6602	7253	5834	0	7973	0.005718954248366013	0.008036076622919119	Mmus
processed_pseudogene	Pseudogene	0.0	0.0	43.02083333333334	acceptor-processed_pseudogene-Pseudogene	acceptor	11.0	3	0	0	0.0	0.0	0	0	danio_rerio	960	Point	21	5	219	207	206	0	328	0.0	0.0	Drer
processed_pseudogene	Pseudogene	0.005558987029030266	0.0030883261272390363	41.23526317418077	acceptor-processed_pseudogene-Pseudogene	acceptor	1619.0	3	9	5	9.0	5.0	9	5	homo_sapiens	129268	Point	24	1293	45669	26375	26929	0	30295	0.00500995127307666	0.0006510763146321555	Hsap
processed_pseudogene	Pseudogene	0.009149130832570906	0.007319304666056725	41.591866642242174	acceptor-processed_pseudogene-Pseudogene	acceptor	1093.0	3	10	8	10.0	8.0	10	8	mus_musculus	87344	Point	27	954	29557	17801	18527	0	21459	0.009047473823320117	0.0010673985971332719	Mmus
protein_coding	Coding	0.00041885941359682096	0.0002899795940285684	38.9962090235714	acceptor-protein_coding-Coding	acceptor	93110.0	3	38	27	39.0	27.0	39	27	anolis_carolinensis	7465359	Point	3	8736	1991675	1498790	1412417	6220	2556257	0.0004134894211148104	3.4801528828309845e-05	Acar
protein_coding	Coding	0.0007393715341959334	0.00026186075169439314	29.62681348519387	acceptor-protein_coding-Coding	acceptor	64920.0	3	48	17	48.0	17.0	48	17	apis_mellifera	5175187	Point	2	12293	1776794	702901	830342	9309	1855841	0.0006130622304374615	0.00013522431071169864	Amel
protein_coding	Coding	0.0008305744547899693	0.00032990106849134303	37.845116977151726	acceptor-protein_coding-Coding	acceptor	257653.0	3	208	82	214.0	85.0	214	85	arabidopsis_thaliana	20637278	Point	5	42046	5690511	3394559	4415643	0	7136565	0.0007758496893108173	0.00010121646929317634	Atha
protein_coding	Coding	0.0005314799672935406	0.0002452984464431725	47.789598163396676	acceptor-protein_coding-Coding	acceptor	24460.0	3	13	6	13.0	6.0	13	6	aspergillus_nidulans	1946637	Point	2	9110	504392	495911	434379	0	511955	0.0005968928863450531	0.00018705216611363844	Anid
protein_coding	Coding	0.0	0.0	45.625	acceptor-protein_coding-Coding	acceptor	2.0	3	0	0	0.0	0.0	0	0	bacillus_subtilis_subsp_subtilis_str_168	160	Point	2	2	49	26	47	0	38	0.0	0.0	Bsub
protein_coding	Coding	8.907892392659897e-05	2.9692974642199653e-05	35.6042601720248	acceptor-protein_coding-Coding	acceptor	202068.0	3	16	6	18.0	6.0	18	6	caenorhabditis_elegans	16161507	Point	6	32701	5208589	3124716	2629469	0	5198733	6.730407585565253e-05	3.114225453323094e-05	Cele
protein_coding	Coding	0.0	0.0	28.75	acceptor-protein_coding-Coding	acceptor	1.0	3	0	0	0.0	0.0	0	0	campylobacter_jejuni_subsp_jejuni_nctc_11168_atcc_700819	80	Point	2	1	37	11	12	0	20	0.0	0.0	Cjej
protein_coding	Coding	0.004861851441919209	0.001650041760316156	64.49747597103548	acceptor-protein_coding-Coding	acceptor	147269.0	3	682	239	716.0	243.0	716	243	chlamydomonas_reinhardtii	11782551	Point	2	17844	1970634	4360687	3238761	3651	2208818	0.004660858700744895	0.00015909204484670564	Crei
protein_coding	Coding	0.002730584082980986	0.0003159565778049495	41.98526926651084	acceptor-protein_coding-Coding	acceptor	389294.0	3	927	118	1060.0	123.0	1063	123	danio_rerio	31543711	Point	23	43383	7738401	6291114	6952598	5686	10555912	0.0027126028143254198	7.060825709476915e-05	Drer
